"","AnoLancamento","Titulo","Diretor","Produtora","UF","Distribuidora","Genero","MaxSalas","Renda","Publico"
"1079",1997,"Miramar","Júlio Bressane","Kabuki Produções Culturais","RJ","RioFilme","Ficção",2,"39.451,00","7.616"
"1080",1997,"Navalha na Carne","Neville d´Almeida","Terra Brasilis Promoções e Marketing","RJ","S. Ribeiro","Ficção",101,"784.214,00","170.929"
"1081",1997,"O Amor Está no Ar","Amylton de Oliveira","LCA Produções","ES","RioFilme","Ficção",3,"31.816,00","5.877"
"1082",1997,"O Cangaceiro","Anibal Massaini","Cinearte Produções Cinematográficas","SP","S. Ribeiro","Ficção",10,"618.692,00","140.932"
"1083",1997,"O Homem Nu","Hugo Carvana","MAC Comunicação e Produção","RJ","RioFilme","Ficção",14,"450.321,00","74.188"
"1084",1997,"O Noviço Rebelde","Tizuka Yamazaki","Renato Aragão Produções Artísticas","RJ","Columbia/ Art Filmes","Ficção",174,"6.019.150,00","1.501.035"
"1085",1997,"O Que É Isso Companheiro?","Bruno Barreto","Filmes do Equador","RJ","Columbia","Ficção",48,"1.787.262,00","321.450"
"1086",1997,"O Velho","Toni Venturi","Olhar Imaginário","SP","RioFilme","Documentário",2,"44.290,00","11.874"
"1087",1997,"Os Matadores","Beto Brant","Cinearte Produções Cinematográficas","SP","RioFilme","Ficção",6,"128.998,00","27.014"
"1088",1997,"Pequeno Dicionário Amoroso","Sandra Werneck","Cineluz Produções Cinematográficas","RJ","Lumière/ RioFilme","Ficção",23,"2.100.685,00","402.430"
"1089",1997,"Sertão das Memórias","José Araújo","Ganesh Produções","CE","RioFilme","Documentário",0,"15.000,00","3.110"
"1090",1997,"Silvino Santos - o Cineasta da Selva","Aurélio Michiles","Cinematográfica Superfilmes","SP","RioFilme","Ficção",2,"21.386,00","4.560"
"1091",1997,"Um Céu de Estrelas","Tata Amaral","Casa de Produções de Filmes e Vídeo","SP","RioFilme","Ficção",1,"72.390,00","13.307"
"1092",1996,"A Felicidade É...","Jorge Furtado, José Pedro Goulart, Cecílio Neto e José Roberto Torero","Zeppelin Produções de Cinema e Televisão","RS","RioFilme","Ficção",0,"15.000,00","3.000"
"1093",1996,"As Meninas","Emiliano Ribeiro","Ypearts Audiovisual","RJ","RioFilme","Ficção",3,"49.957,00","13.527"
"1094",1996,"Cassiopéia","Clóvis Vieira","NDR Filmes Produções","SP","RioFilme","Ficção",34,"60.359,00","14.224"
"1095",1996,"Como Nascem os Anjos","Murilo Salles","Cinema Brasil Digital - Escritório de Planejamento em Empreendimentos Audiovisuais","RJ","RioFilme","Ficção",2,"200.000,00","41.945"
"1096",1996,"Corisco e Dadá","Rosemberg Cariri","Cariri Produções Artísticas","CE","RioFilme","Ficção",0,"60.000,00","13.525"
"1097",1996,"Doces Poderes","Lúcia Murat","Taiga Filmes e Vídeo","RJ","RioFilme","Ficção",0,"60.000,00","13.809"
"1098",1996,"Fica Comigo","Tizuka Yamazaki","Villa Vitória Cinematográfica","ES","RioFilme","Ficção",0,"13.000,00","2.866"
"1099",1996,"Jenipapo","Monique Gardenberg","Dueto Produções e Publicidade","RJ","RioFilme","Ficção",0,"350.000,00","72.133"
"1100",1996,"Mil e Uma","Suzana de Moraes","1001Filmes","RJ","RioFilme","Ficção",0,"12.000,00","2.403"
"1101",1996,"O Cego que Gritava Luz","João Batista de Andrade","Raiz Produções Cinematográficas","SP","RioFilme","Ficção",0,"8.500,00","1.647"
"1102",1996,"O Corpo","José Antônio Garcia","Cinearte Produções Cinematográficas","SP","RioFilme","Ficção",0,"120.000,00","26.984"
"1103",1996,"O Guarani","Norma Bengel","N.B. Produções","RJ","RioFilme","Ficção",0,"120.000,00","26.190"
"1104",1996,"O Judeu","Jom Tob Azulay","A&B Produções","RJ","RioFilme","Ficção",1,"62.630,00","11.817"
"1105",1996,"O Monge e a Filha do Carrasco","Walter Lima Jr.","JBR Filmes","RJ","RioFilme","Ficção",9,"72.173,00","16.824"
"1106",1996,"Quem Matou Pixote?","José Joffily","Coevos Filmes","RJ","RioFilme","Ficção",57,"148.534,00","32.220"
"1107",1996,"Sombras de Julho","Marco Altberg","M. Altberg Cinema e Vídeo","RJ","RioFilme","Ficção",0,"5.000,00","767"
"1108",1996,"Tieta do Agreste","Cacá Diegues","Sky Light Cinema Foto e Art","RJ","Columbia","Ficção",133,"2.380.586,00","511.954"
"1109",1996,"Todos os Corações do Mundo","Murilo Salles","Sports Target Media","RJ","S. Ribeiro","Documentário",86,"1.004.415,00","265.017"
"1110",1995,"Banana is my Business","Helena Solberg","Juca Filmes","RJ","RioFilme","Documentário",0,"90.000,00","15.470"
"1111",1995,"Carlota Joaquina, Princesa do Brazil","Carla Camurati","Elimar Produções Artísticas","RJ","Elimar","Ficção",33,"6.430.000,00","1.286.000"
"1112",1995,"Causa Secreta","Sérgio Bianchi","Agravo Produções Cinematográficas","SP","RioFilme","Ficção",0,"15.000,00","3.000"
"1113",1995,"Cinema de Lágrimas","Nelson Pereira dos Santos","Meta Vídeo Produções","RJ","RioFilme","Documentário",0,"7.500,00","1.575"
"1114",1995,"Efeito Ilha","Luiz Alberto Pereira","Dezenove Som e Imagens Produções","SP","RioFilme","Ficção",0,"15.000,00","3.000"
"1115",1995,"Louco por Cinema","André Luiz Oliveira","Asa Cinema e Vídeo","RJ","RioFilme","Ficção",0,"60.000,00","12.991"
"1116",1995,"Menino Maluquinho","Helvécio Ratton","Grupo Novo de Cinema e TV","RJ","S. Ribeiro/ RioFilme","Ficção",31,"1.532.509,00","397.023"
"1117",1995,"O Mandarim","Júlio Bressane","Movie Track","RJ","RioFilme","Ficção",0,"35.000,00","7.616"
"1118",1995,"O Quatrilho","Fábio Barreto","Filmes do Equador / Produções Cinematográficas LC Barreto","RJ","S. Ribeiro","Ficção",64,"4.513.302,00","1.117.154"
"1119",1995,"Perfume de Gardênia","Guilherme de Almeida Prado","Dezenove Som e Imagens Produções","SP","RioFilme","Ficção",0,"55.000,00","9.077"
"1120",1995,"Sábado","Ugo Giorgetti","SP Filmes de São Paulo","SP","Mais Filmes","Ficção",0,"906.750,00","155.000"
"1121",1995,"Super Colosso","Luiz Ferré","Play Vídeo Produções para Cinema e Televisão","SP","Paris","Ficção",216,"506.027,00","154.762"
"1122",1995,"Terra Estrangeira","Walter Salles e Daniela Thomas","Videofilmes Produções Artísticas","RJ","RioFilme","Ficção",0,"500.000,00","112.840"
"1123",1995,"Yndio do Brasil","Sylvio Back","Usina de Kyno Ltda","RJ","RioFilme","Documentário",0,"15.000,00","3.000"
