"","AnoLancamento","Titulo","Diretor","Produtora","UF","Distribuidora","Genero","MaxSalas","Renda","Publico"
"83",2014,"Operários da Bola","Virna Smith","VIRNA SMITH PRODUÇÕES LTDA","DF","Espaço Filmes ","Documentário",11,"1.942,42","175"
"84",2014,"Os Amigos","Lina Chamie","GIRAFA FILMES LTDA","SP","Imovision ","Ficção",24,"66.061,81","5.166"
"85",2014,"Os Caras de Pau em o Misterioso Roubo do Anel","Felipe Joffily","Casé Filmes Ltda","RJ","Imagem ","Ficção",527,"7.964.906,08","650.700"
"86",2014,"Os Dias com Ele","Maria Clara Escobar","FILMES DE ABRIL PRODUÇÕES AUDIOVISUAIS LTDA.","SP","Vitrine Filmes","Documentário",9,"12.125,17","1.043"
"87",2014,"Os Homens são de Marte... E é para lá que eu vou","Marcus Baldini","BIÔNICA CINEMA E TV LTDA.ME","SP","Downtown/Paris","Ficção",465,"21.750.981,39","1.793.239"
"88",2014,"Ozualdo Candeias e o Cinema","Eugenio Puppo","HECO PRODUÇÕES LTDA","SP","Tucumán","Documentário",1,"1.489,00","258"
"89",2014,"Pau Brasil","Fernando Belens","Truque Produtora de Cinema","BA","Caliban","Ficção",2,"2.396,97","229"
"90",2014,"Praia do Futuro","Karim Aïnouz","CORAÇÃO DA SELVA TRANSMÍDIA LTDA","SP","Califórnia ","Ficção",114,"1.727.610,85","133.022"
"91",2014,"Quando Eu Era Vivo","Marco Dutra","Camisa Treze Cultural S/S Ltda","SP","Vitrine Filmes","Ficção",25,"86.675,32","7.701"
"92",2014,"Remar é...","Valerio Martins da Fonseca","Valerio Martins da Fonseca","RJ","Raconto Produções Artísticas","Documentário",1,"903,00","91"
"93",2014,"Rio em Chamas","Daniel Caetano","CAVIDEO PRODUÇÕES, COMÉRCIO E LOCAÇÃO DE FILMES LTDA","RJ","Cavideo Produções","Documentário",1,"4.875,00","970"
"94",2014,"Rio, Eu te Amo","Vários","Conspiração Filmes Entretenimento 3º Milênio","RJ","Warner","Ficção",248,"1.237.928,00","98.788"
"95",2014,"Riocorrente","Paulo Sacramento","Olhos de Cão Produções Cinematográficas Ltda. Me","SP","Califórnia ","Ficção",12,"51.295,98","3.970"
"96",2014,"Ritos de Passagem","Francisco Liberato de Mattos","Liberato Produções Culturais","BA","Pipa","Animação",2,"5.224,50","966"
"97",2014,"S. O. S. Mulheres ao Mar","Cris D'Amato","ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA","RJ","Disney","Ficção",450,"20.732.500,00","1.776.579"
"98",2014,"Sem Pena","Eugenio Puppo","HECO PRODUÇÕES LTDA","SP","Espaço Filmes ","Documentário",13,"93.159,48","7.212"
"99",2014,"Sementes do Nosso Quintal","Fernanda Heinz","Zinga Ltda.","SP","Aiuê Produtora","Documentário",3,"21.416,16","2.192"
"100",2014,"Setenta","Emília Silveira","CAVIDEO PRODUÇÕES, COMÉRCIO E LOCAÇÃO DE FILMES LTDA / 70 FILMES PRODUCOES ARTÍSTICAS LTDA","RJ","Livres Distribuidora","Documentário",7,"17.330,87","1.249"
"101",2014,"Sobre Sete Ondas Verdes Espumantes","Bruno Polidoro, Carlos Nazário","BESOURO FILMES LTDA.","RS","Boulevard Filmes","Documentário",3,"5.941,00","1.071"
"102",2014,"Sobrevivente Urbano","José Claudio Silva","Ze's Produções","RJ","Ze's Produções","Ficção",5,"4.156,00","366"
"103",2014,"Sobrevivi ao Holocausto","Caio Cobra e Marcio Pitliuk","Cash Cow","PR","Downtown/Paris","Documentário",6,"22.981,07","1.699"
"104",2014,"Sopro","Marcos Pimentel","TEMPERO FILMES LTDA","MG","Lume","Documentário",6,"5.683,00","1.253"
"105",2014,"Tarja Branca","Cacau Rhoden","MARCOS BESSA NISTI (IDÉIAS MARIA FARINHA)","SP","Idéias Maria Farinha","Documentário",15,"193.057,40","14.892"
"106",2014,"Tim Lopes – História de Arcanjo","Guilherme Azevedo","GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S.A.","RJ","Europa","Documentário",16,"21.160,31","1.676"
"107",2014,"Tim Maia","Mauro Lima","RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.","SP","Downtown/Paris","Ficção",540,"10.254.202,77","776.824"
"108",2014,"Trash - A Esperança vem do Lixo","Stephen Daldry","O2 Produções Artísticas E Cinematográficas","SP","Universal","Ficção",266,"3.035.598,90","258.824"
"109",2014,"Trinta","Paulo Machline","PRIMO FILMES LTDA","SP","Fox","Ficção",55,"283.856,00","21.549"
"110",2014,"Uma Dose Violenta de Qualquer Coisa","Gustavo Galvão","400 FILMES SERVIÇOS DE PRODUÇÃO LTDA ME/ GUSTAVO GALVÃO DINIZ TORREÃO BRAZ","DF","Okna Produções","Ficção",13,"34.813,43","3.383"
"111",2014,"Uma Passagem para Mário","Eric Loiola","Laurence Produções Audiovisuais","PE","Laurence Produções Audiovisuais","Documentário",9,"14.091,52","2.462"
"112",2014,"Ventos de Agosto","Gabriel Mascaro","DESVIA PRODUÇÕES ARTISTICAS E AUDIOVISUAIS LTDA","PE","Vitrine Filmes","Ficção",22,"91.920,71","7.941"
"113",2014,"Vermelho Brasil","Sylvain Archambault","CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.","RJ","H2O Films","Ficção",9,"6.555,01","538"
"114",2014,"Vestido pra Casar","Gerson Sanginitto","Raconto Produções Artísticas","RJ","Imagem ","Ficção",491,"14.756.242,84","1.258.666"
"115",2013,"A alma da gente","Helena Solberg e David Meyer","Radiante Filmes","RJ","E.H. Produções","Documentário",8,"17.320,65","1.646"
"116",2013,"A Batalha do passinho","Emílio Domingos","OSMOSE FILMES LTDA","RJ","Cine Santa Tereza","Documentário",6,"17.781,50","2.640"
"117",2013,"A Busca","Luciano Moura","O2 Cinema","SP","Downtown/Paris/RioFilme","Ficção",162,"3.686.889,75","352.914"
"118",2013,"A cidade é uma só?","Adirley Queiróz","400 Filmes - Serviços De Produção Ltda Me","DF","Vitrine Filmes","Documentário",6,"14.029,58","1.379"
"119",2013,"A coleção invisível","Bernard Attal","Santa Luzia Filmes Ltda","BA","Pandora (Providence)","Ficção",20,"68.288,87","8.595"
"120",2013,"A Floresta de Jonathas","Sérgio Andrade","Sergio j. De andrade","AM","Vitrine Filmes","Ficção",3,"8.809,25","1.085"
"121",2013,"A luz do Tom","Nelson Pereira dos Santos","Regina Filmes","RJ","Bretz/RioFilme","Documentário",12,"94.502,95","8.831"
"122",2013,"A memória que me contam","Lucia Murat","Taiga Filmes e Vídeo","RJ","Imovision (Tag Cultural/Reserva Nacional)","Ficção",7,"68.729,35","6.204"
"123",2013,"A Nave - Uma Viagem com a Jazz Sinfônica de São Paulo","Luiz Otávio de Santi","Drama Filmes","SP","Drama Filmes","Documentário",1,"1.104,00","365"
"124",2013,"A sorte em suas mãos","Daniel Burman","Gullane Filmes","SP","Imovision (Tag Cultural/Reserva Nacional)","Ficção",18,"316.108,79","25.088"
"125",2013,"A Última Estação","Marcio Cury","Asacine Produções","DF","Polifilmes","Ficção",13,"22.172,45","1.977"
"126",2013,"Amazônia Desconhecida","Eduardo Rajabally e Daniel Sampaio Augusto","Gullane Filmes","SP","Elo Company","Documentário",1,"425,00","67"
"127",2013,"América – Uma história portuguesa","João Nuno Pinto","Dezenove Som e Imagens Produções","SP","Panda","Ficção",1,"3.422,00","307"
"128",2013,"Angie","Marcio Garcia Machado","Mgp Entretenimento Ltda","MG","H2O Films/RioFilme","Ficção",46,"99.349,14","9.115"
"129",2013,"Anita e Garibaldi","Alberto Rondalli","Laz Audiovisual Ltda","PR","Ab Filmes/Polifilmes","Ficção",10,"11.809,54","1.027"
"130",2013,"Artigas - La redota","Cesar Charlone","Aim Produções Ltda ","SP","Panda","Ficção",3,"22.519,74","2.318"
"131",2013,"As hiper mulheres","Carlos Fausto, Leonardo Sette e Takumã Kuikuro","Vídeo Nas Aldeias","PE","Vitrine Filmes","Documentário",5,"7.997,50","821"
"132",2013,"As horas vulgares","Rodrigo de Oliveira e Victor Graize","Maria Da Penha Garcia - Patuléia Filmes E Produções","ES","Petrini","Ficção",0,"0,00","0"
"133",2013,"Até que a Sorte nos Separe 2","Roberto Santucci","Gullane Filmes","SP","Downtown/Paris","Ficção",778,"45.274.441,66","3.978.191"
"134",2013,"Boa sorte, meu amor","Daniel Aragão","Orquestra Cinema Estúdios Ltda","PE","Cicatrix Filmes","Ficção",11,"31.674,35","4.032"
"135",2013,"Bonitinha, mas ordinária","Moacyr Goés","Diler & Associados","RJ","Califórnia (Antonio Fernandes)","Ficção",44,"139.529,27","13.997"
"136",2013,"Caleuche - O Chamado do Mar","Jorge Olguín","Dezenove Som e Imagens Produções","SP","Disney","Ficção",2,"6.528,00","497"
"137",2013,"Carreras","Salete Machado","Salete Paulina Machado Sirino","PR","Tigre Produções Cinematográficas","Ficção",4,"76.447,52","16.908"
"138",2013,"Casa da mãe Joana 2","Hugo Carvana","MAC Comunicação e Produção","RJ","Imagem (Wmix)","Ficção",187,"1.599.981,15","152.596"
"139",2013,"Chamada a cobrar","Ana Luiza Machado da Silva Muilaert","África Filmes","SP","Gullane Entretenimento","Ficção",1,"6.479,84","527"
"140",2013,"Cidade Cinza","Marcelo Mesquita e Guilherme Valiengo","Sala 12 Produções Artísticas Ltda","SP","Espaço Filmes ","Documentário",12,"132.105,43","11.345"
"141",2013,"Cine Holliúdy","Halder Gomes","Atc Entretenimentos Ltda","CE","Downtown/Paris","Ficção",74,"5.029.843,30","486.086"
"142",2013,"Colegas","Marcelo Galvão","Gata Cine Produções","SP","Europa (Cannes)","Ficção",141,"1.721.553,23","163.624"
"143",2013,"Coração do Brasil","Daniel Solá Santiago","Daniel Solá Santiago Produções","SP","Pandora (Providence)","Documentário",6,"5.815,14","631"
"144",2013,"Corda Bamba","Eduardo Goldstein","Aion Cinematográfica Ltda","RJ","Copacabana Filmes","Ficção",8,"14.828,67","1.591"
"145",2013,"Cores","Francisco Garcia","Kinoosfera Filmes e Produções Artísticas Ltda","SP","Pandora (Providence)","Ficção",5,"21.972,60","2.376"
"146",2013,"Corpo Presente","Paolo Gregori, Marcelo Toledo","Jorge Barbosa Guedes Produções","SP","Raiz Filmes","Ficção",1,"7.139,06","587"
"147",2013,"Crô - O Filme","Bruno Barreto","Filmes do Equador","RJ","Downtown/Paris","Ficção",467,"18.673.695,63","1.716.774"
"148",2013,"Cru","Jimi Figuairedo","Cinema Cinema Produções Artísticas e Culturais Ltda","DF","Cinema Cinema Produções","Ficção",1,"4.752,93","496"
"149",2013,"Cuica de Santo Amaro","Joel de Almeida e Josias Pires Neto","DOC Filmes Produções Audiovisuais","BA","Docdoma Filmes","Documentário",3,"5.938,50","750"
"150",2013,"Doce Amianto","Guto Parente e Uriá dos Reis","Alumbramento Produções Cinematográficas Ltda","CE","Vitrine Filmes","Ficção",5,"6.043,57","815"
"151",2013,"Doméstica","Gabriel Mascaro","Desvia Produções Artisticas E Audiovisuais Ltda","PE","Vitrine Filmes","Documentário",5,"24.249,25","3.222"
"152",2013,"Dores de amores","Raphael Bethlem Vieira","Kinotv Ltda","RJ","Kino Filmes","Ficção",2,"2.162,72","444"
"153",2013,"Dossiê Jango","Paulo Henrique Fontenelle","Canal Brazil S.A.","RJ","Canal Brazil","Documentário",10,"96.523,98","8.097"
"154",2013,"Educação Sentimental","Julio Bressane","República Pureza Filmes","RJ","ArtHouse","Ficção",3,"12.614,94","991"
"155",2013,"Elena","Petra Costa","Busca Vida Filmes E Producoes Eireli - Me","SP","Espaço Filmes ","Documentário",19,"698.763,83","58.102"
"156",2013,"Ensaio","Tânia Lamarca","Acquafredda Cine E Video Ltda - Me","SC","Imagem (Wmix)","Ficção",8,"15.692,17","1.293"
"157",2013,"Esse amor que nos consome","Allan Ribeiro","3 Moinhos Produções Artísticas Ltda Me","RJ","Vitrine Filmes","Ficção",8,"14.847,38","1.906"
"158",2013,"Eu Não Faço a Menor Ideia do que Eu Tô Fazendo com a Minha Vida","Matheus Souza","Matheus Souza Produções Artísticas Ltda","RJ","Vitrine Filmes","Ficção",17,"129.539,46","11.553"
"159",2013,"Faroeste caboclo","René Sampaio","De Felippes Filmes E Produções Ltda","RJ","Europa Filmes/RioFilme","Ficção",464,"15.560.125,66","1.469.772"
"160",2013,"Filme Jardim Atlântico","William Cubits Capela","William Cubits Capela","PE","William Cubits Capela","Ficção",3,"5.575,85","1.222"
"161",2013,"Fla x Flu - 40 Minutos antes do Nada","Renato Terra","Sentimental Filme Ltda","SP","Elo Company","Documentário",6,"35.003,62","2.591"
"162",2013,"Flores Raras","Bruno Barreto","Filmes do Equador","RJ","Imagem (Wmix)","Ficção",101,"3.402.184,50","275.497"
"163",2013,"Fora do figurino","Paulo Pélico","Paulo Pélico ","SP","Raiz Filmes","Documentário",5,"8.476,09","686"
"164",2013,"Fragmentos de Paixão","Iara Cardoso","STORM COMUNICAÇÃO LTDA","SP","Studio Chocolate","Documentário",5,"3.178,00","325"
"165",2013,"Francisco Brennand ","Mariana Brennand Fortes","Mariola Filmes e Produções Ltda.","PE","Videofilmes","Documentário",13,"53.744,09","5.296"
"166",2013,"Giovanni Improtta","José Wilker","Luz Mágica Produções Audiovisuais Ltda","RJ","Sony/RioFilme","Ficção",202,"1.964.092,95","188.436"
"167",2013,"Habi, A Estrangeira","Maria Florencia Alvarez","Videofilmes Produções Artísticas","RJ","Videofilmes","Ficção",7,"73.132,60","5.681"
"168",2013,"Hijab, Mulheres de Véu","Paulo Halm","Canhota Produções Cinematograficas Ltda","RJ","Formosa filmes","Documentário",8,"10.007,06","769"
"169",2013,"Hoje","Márcia Lellis de Souza Amaral","Tangerina Entretenimento Ltda","SP","H2O Films","Ficção",12,"88.488,00","7.525"
"170",2013,"Jorge Mautner - O Filho do Holocausto","Sergio Heitor D'Alincourt Ribeiro e Pedro Bial","Bali Do Ocidente Produções Ltda","RJ","H2O Films","Documentário",31,"102.831,13","9.690"
"171",2013,"Juan e a bailarina","Raphael Gayer Aguinaga","Parceria Produções E Projetos Jornalísticos Ltda","RJ","Vilacine","Ficção",9,"49.805,34","4.224"
"172",2013,"Kátia","Karla Holanda","Em Foco Multimídia Produções  Ltda","CE","Em Foco Multimídia","Documentário",2,"6.899,22","747"
"173",2013,"Laura","Fellipe Barbosa","Gamarosa filmes ltda","RJ","Vitrine Filmes","Documentário",27,"10.948,02","907"
"174",2013,"Lira Paulistana e a Vanguarda Paulista","Riba de cAstro","Busca Vida Filmes E Producoes Eireli - Me","SP","Busca Vida Filmes e Produções Eireli","Documentário",2,"20.377,44","1.577"
"175",2013,"Mais uma Canção","Rene Goya Filho e Alexandre Derlam","Estação Elétrica Produção de Cinema e Vídeo","RS","Estação Elétrica Produções","Documentário",2,"1.414,00","183"
"176",2013,"Margaret Mee e a flor da lua","Malu de Martinho","E.H. Filmes","RJ","E.H. Produções","Documentário",11,"55.147,98","4.751"
"177",2013,"Mataram meu Irmão","Cristiano Burlan","Bela Filmes Produções Ltda Me","SP","Bela Filmes","Documentário",4,"5.538,02","745"
"178",2013,"Mato sem cachorro","Pedro Amorim","TITÂNIO PRODUÇÕES ARTÍSTICAS","RJ","Imagem (Wmix)","Ficção",377,"11.586.523,40","1.134.563"
"179",2013,"Meu amigo Claudia","Dácio Pinheiro de Andrade","Piloto Cinema e Televisão Ltda","SP","Festival Filmes","Documentário",1,"3.591,06","248"
"180",2013,"Meu Passado me Condena","Julia Rezende","Atitude Produções e Empreendimentos Ltda","RJ","Downtown/Paris","Ficção",421,"34.826.391,63","3.140.771"
"181",2013,"Meu pé de laranja-lima","Marcos Bernstein Seixas","Pássaro Films do Brasil Audiovisuais Ltda","RJ","Imovision (Tag Cultural/Reserva Nacional)","Ficção",101,"667.063,05","70.159"
"182",2013,"Minha mãe é uma peça","André Pellenz","Migdal Produções cinematográficas Ltda","RJ","Downtown/Paris","Ficção",407,"49.533.218,31","4.600.145"
"183",2013,"Minhocas","Paulo Conti e Arthur Nunes","Glaz Entretenimento","SP","Fox","Animação",127,"1.615.450,00","163.095"
"184",2013,"Morro dos Prazeres","Maria Augusta Ramos","Nofoco Filmes Produções Cinematograficas Ltda","RJ","Espaço Filmes ","Documentário",5,"27.840,14","2.254"
"185",2013,"Mulheres africanas - A rede invisível","Carlos Nascimbeni","São Paulo Cine Video Ltda","SP","Cinevideo Produções","Documentário",5,"6.178,50","521"
"186",2013,"Mundo invisível","vários diretores","Mostra Internacional de Cinema","SP","Imovision (Tag Cultural/Reserva Nacional)","Ficção",7,"31.137,24","2.602"
"187",2013,"Na carne e na alma","Alberto Salvá Contel","Link Produções","RJ","Raconto Produções Artísticas","Ficção",1,"1.630,00","207"
"188",2013,"Na quadrada das águas perdidas","Wagner Miranda Lima e Marcos Carvalho","Antonio M. G. de Carvalho Produções Artísticas e Cinematográficas","PE","Polifilmes","Ficção",5,"64.698,13","13.993"
"189",2013,"No lugar errado","Guto Parente, Luiz Pretti, Pedro Giogenes e Ricardo Pretti","Alumbramento Produções Cinematográficas Ltda","CE","Vitrine Filmes","Ficção",4,"1.861,31","220"
"190",2013,"Noites de reis","Vinícius Reis","El Desierto Filmes","RJ","E.H. Produções","Ficção",5,"3.613,60","316"
"191",2013,"Nove crônicas para um coração aos berros","Gustavo Galvão","400 Filmes - Serviços De Produção Ltda Me","DF","Vitrine Filmes","Ficção",3,"12.189,13","1.590"
"192",2013,"O abismo prateado","Karim Ainouz","RT Comércio e Serviços de Criação e Produção de Obras com Direitos Autorais","SP","Vitrine Filmes","Ficção",14,"120.539,63","11.583"
"193",2013,"O Brasil deu certo. E agora?","Louise Sottomaior","Cultura Maior Comunicação e Cultura Ltda. - Me","SP","Cultura Maior","Documentário",7,"21.519,41","1.676"
"194",2013,"O Carteiro","Reginaldo Faria","Turning Point Produções","RS","TGD Filmes","Ficção",24,"40.853,73","4.326"
"195",2013,"O Concurso","Pedro Vasconcelos","Latinamerica Entretenimento Eireli","SP","Downtown/Paris","Ficção",355,"14.125.213,83","1.320.102"
"196",2013,"O dia que durou 21 anos ","Camilo Galli Tavares","Pequi Filmes Ltda","SP","Pequi Filmes","Documentário",14,"262.474,40","25.085"
"197",2013,"O Exercício do Caos","Frederico Machado","Frederico da Cruz Machado","MA","Lume","Ficção",9,"37.326,80","4.880"
"198",2013,"O Inventor de Sonhos","Ricardo Nauenberg","INDUSTRIA IMAGINARIA EIRELI","RJ","Europa (Cannes)","Ficção",34,"41.410,44","3.708"
"199",2013,"O País do Desejo","Paulo Caldas","Bananeira Filmes","RJ","Califórnia (Antonio Fernandes)","Ficção",9,"18.039,76","1.699"
"200",2013,"O Primeiro Dia de um Ano Qualquer","Domingos  Oliveira","Teatro Ilustre Produções Artísticas","RJ","Forte Filmes","Ficção",3,"14.763,08","1.158"
"201",2013,"O que se move","Caetano Gotardo","Dezenove Som e Imagens Produções","SP","Lume","Ficção",8,"22.513,88","1.975"
"202",2013,"O Renascimento do Parto - O filme","Eduardo Henrique Leon Chauvet","E. H. L. Chauvet Filmes e Eventos EPP (Master Brasil)","DF","Espaço Filmes ","Documentário",19,"328.817,61","30.127"
"203",2013,"O Som ao Redor","Kleber de Mendonça Vasconcellos Filho","Cinemascópio Produções Cinematográficas e Artísticas","PE","Vitrine Filmes","Ficção",24,"975.437,07","94.922"
"204",2013,"O Tempo e o Vento","Jayme Monjardin","Nexus Cinema e Vídeo","SP","Downtown/Paris","Ficção",217,"7.721.840,78","711.515"
"205",2013,"Odeio o dia dos namorados","Roberto Santucci","Glaz Entretenimento","SP","Disney","Ficção",325,"4.492.895,00","457.523"
"206",2013,"Olhe pra mim de novo","Claudia Priscilla e Kiko Goifman","Paleoteve Produção Cultural Ltda - ME","SP","Paleotv","Documentário",2,"6.025,70","1.431"
"207",2013,"Paixão e Acaso","Domingos  Oliveira","Teatro Ilustre Produções Artísticas","RJ","Forte Filmes","Ficção",3,"10.624,73","844"
"208",2013,"Paulo Moura - Alma Brasileira","Eduardo Escorel","Cinefilmes","RJ","Espaço Filmes/Videofilmes","Documentário",12,"31.127,04","2.603"
"209",2013,"Por que você partiu?","Eric Belhassem","Um Por Todos Produçoes Ltda – Epp","SP","Imovision (Tag Cultural/Reserva Nacional)","Documentário",4,"35.375,48","2.687"
"210",2013,"Por Trás do Véu","Emiliano Ribeiro de Almeida","Ypearts Audiovisual","RJ","Downtown (Freespirit)","Documentário",1,"232,00","15"
"211",2013,"Pra lá do mundo","Roberto Studart","Truque Produtora de Cinema TV e Vídeo","BA","Pandora (Providence)","Documentário",4,"11.688,05","1.827"
"212",2013,"Pulmão da Arquibancada","Pedro Von Krüger e Marcel Costa","Filmes Do Bem Produções Artísticas Ltda","RJ","ArtHouse","Documentário",2,"2.021,42","150"
"213",2013,"Qualé o teu Negócio?","Sério Gagliardi","Dgt Filmes Ltda - Epp","SP","Brazukah Produções Culturais","Documentário",2,"1.300,19","153"
"214",2013,"Quase um tango","Sérgio Roberto Silva","NGM Produções & Promoções Ltda","RS","NGM Produções","Ficção",0,"0,00","0"
"215",2013,"Raça","Joel Zito Araújo e Megan Mylan","Casa de Criação Cinema e Artes Ltda","RJ","Espaço Filmes ","Documentário",8,"24.601,55","2.112"
"216",2013,"Rânia ","Roberta Marques","Latitude Sul Produções Artísticas Ltda","CE","Tucumán","Ficção",4,"9.544,24","971"
"217",2013,"Rapsódia Armênia","Gary Gananian, Cassiana Dher Haroutiounian, Cesar Augusto Gananian","Cesar Augusto Gananian","SP","Cesar Augusto Gananian","Documentário",1,"13.260,91","867"
"218",2013,"Repare Bem","Maria de Medeiros","Instituto Via Br","SP","Instituto Via BR","Documentário",5,"18.524,90","1.570"
"219",2013,"Réquiem para Laura Martin","Luiz Rangel e Paulo Duarte","Amazonas filmes ltda.","SP","FM Produções","Ficção",2,"1.276,99","120"
"220",2013,"Reus","Eduardo Piñero, Pablo Fernández e Alejandro Pi","Panda Filmes Ltda","RS","Panda","Ficção",1,"374,00","37"
"221",2013,"Santo Marcos, Goleiro de Placa","Thiago Di Fiore, Fábio Di Fiore e Adolfo Rosenthal","Gioconda Produções Artísticas E Edições Culturais Ltda","SP","Maff Representação e Participação","Documentário",11,"32.997,93","2.557"
"222",2013,"São Silvestre","Lina Chamie","Bossa Nova Films","SP","Pandora (Providence)","Documentário",3,"17.973,12","1.622"
"223",2013,"Satyrianas, 78horas em 78 min","Daniel Gaggini, Fausto Noro, Otavio Whately Pacheco","Na Laje Filmes Produções Ltda","SP","Vitrine Filmes","Documentário",1,"1.051,44","77"
"224",2013,"Se puder...dirija!","Paulo Fontenelle","Total Entertainment","RJ","Disney","Ficção",471,"4.454.754,00","360.808"
"225",2013,"Segredos da tribo","José Padilha","Zazen Produções Audiovisuais","RJ","Zazen","Documentário",2,"6.272,00","775"
"226",2013,"Serra Pelada","Heitor Dhalia","Lynxfilm Produções Audiovisuais Ltda","SP","Warner","Ficção",332,"4.219.527,00","405.688"
"227",2013,"Serra pelada – A lenda da montanha de ouro","Victor Lopes","TV Zero","RJ","TV Zero Cinema","Documentário",3,"6.971,82","861"
"228",2013,"Simone","Juan Zapata","Zapata Filmes Ltda","RS","Tucumán","Ficção",5,"5.909,28","815"
"229",2013,"Sobral - o Homem que Não tinha Preço","Paula Fiuza","Canal Laranja Produções Ltda Me","RJ","Serendip","Documentário",14,"51.515,22","4.550"
"230",2013,"Solidões","Oswaldo Montenegro","Oswaldo Montenegro Produções Artísticas Ltda","RJ","Oswaldo Montenegro Produções Artísticas","Ficção",6,"29.109,04","1.971"
"231",2013,"Somos tão jovens","Antonio Carlos da Fontoura","Canto Claro Produções Artísticas","RJ","Imagem/Fox","Ficção",565,"18.253.649,24","1.715.763"
"232",2013,"Sorria, Você esta na Barra","Izabel Jaguaribe","Tambellini Filmes e Produções Audiovisuais","RJ","Videofilmes","Documentário",2,"798,11","62"
"233",2013,"Super Nada","Rubens Rewald","Confeitaria De Cinema Comunicações Ltda","SP","Lume","Ficção",7,"29.434,12","2.842"
"234",2013,"Tabu","Miguel Gomes","Gullane Filmes","SP","Espaço Filmes ","Ficção",3,"241.886,07","22.060"
"235",2013,"Tainá - A Origem","Rosane Svartman","Sincrocine Produções Cinematográficas Ltda","RJ","Downtown/Sony/RioFilme","Ficção",195,"3.099.476,47","353.690"
"236",2013,"Tatuagem","Hilton Lacerda","Rec Produtores Associados Ltda","PE","Imovision (Tag Cultural/Reserva Nacional)","Ficção",22,"438.524,43","44.637"
"237",2013,"Tokiori - Dobras do Tempo","Paulo Pastorelo","Primo Filmes Ltda","SP","Lume","Documentário",2,"5.263,18","540"
"238",2013,"Trampolim do Forte","João Rodrigo Mattos","DOC Filmes Produções Audiovisuais","BA","Pipa","Ficção",5,"21.156,80","2.616"
"239",2013,"Uma história de amor e fúria","Luiz Bolognesi","Buriti Filmes","SP","Europa (Cannes)","Animação",65,"296.444,48","30.456"
"240",2013,"Vai que dá certo","Maurício Farias","Fraiha Produções de Eventos e Editora Ltda","RJ","Imagem (Wmix)","Ficção",469,"28.990.665,92","2.729.340"
"241",2013,"Vazio Coração","Alberto Araújo","Kanal Cine, Vídeo E Propaganda Ltda","GO","Califórnia (Antonio Fernandes)","Ficção",28,"27.563,59","2.479"
"242",2013,"Vendo ou alugo","Betse de Paula","BPP Produções Audiovisuais","RJ","Europa Filmes/RioFilme","Ficção",179,"1.648.359,87","152.303"
"243",2013,"Xico stockinger","Frederico Mendina","Mendina De Morais Santos Produções Ltda","RS","Daniela Golveia Menegoto","Documentário",2,"2.449,33","351"
"244",2012,"31 minutos – O filme","Pedro Peirano Olate","Total Entertainment","RJ","H2O Films/Riofilme","Ficção",129,"428.958,47","59.052"
"245",2012,"5 x Pacificação","Wagner dos Santos Novais","Luz Mágica Produções Audiovisuais Ltda.","RJ","H2O Films/Riofilme","Documentário",16,"40.665,50","6.296"
"246",2012,"À Beira do Caminho","Breno Silveira","Conspiração Filmes","RJ","Fox","Ficção",218,"1.484.420,77","159.109"
"247",2012,"A Música segundo Tom Jobim","Dora Jobim","Regina Filmes","RJ","Sony","Documentário",21,"863.590,25","74.901"
"248",2012,"A Novela das Oito","Odilon Rocha","Geração Conteúdo","SP","Universal","Ficção",21,"50.074,00","5.147"
"249",2012,"Antônio Conselheiro – O taumaturgo dos sertões","José Walter Lima","VPC Cinema Video Produções Artísticas e Distribuidora de Filmes Ltda.","BA","VPC Cinemavídeo","Ficção",6,"10.784,50","1.614"
"250",2012,"Área Q","Gerson Sanginitto","Sophia Filmes","RJ","Califórnia","Ficção",64,"393.592,81","38.739"
"251",2012,"Argus Montenegro e a Instabilidade do Tempo Forte","Pedro Lucas","Artéria Filmes","RS","Okna Produções","Documentário",2,"1.803,00","384"
"252",2012,"As Aventuras de Agamenon, o Repórter","Victor Lopes","Tambellini Filmes e Produções Audiovisuais","RJ","Downtown/Paris/Riofilme","Ficção",244,"9.335.915,91","937.980"
"253",2012,"Astro – Uma fábula urbana em um Rio de Janeiro mágico","Ana Paula Trabulsi","Asas Da Imaginação Cinema E Comunicação Ltda","SP","Elo Company","Ficção",7,"8.576,42","681"
"254",2012,"Até que a Sorte nos Separe","Roberto Santucci","Gullane Filmes","SP","Downtown/Paris/Riofilme","Ficção",425,"34.670.753,25","3.411.137"
"255",2012,"Billi Pig","José Eduardo Belmonte","Bananeira Filmes","RJ","Imagem","Ficção",211,"2.483.318,24","257.664"
"256",2012,"Boca","Flavio Frederico","Kinoscópio Cinematográfica/ Intro","SP","Vinny filmes","Ficção",26,"125.472,38","11.959"
"257",2012,"Brichos II - A floresta é nossa","Paulo Munhoz ","Tecnokena Audiovisual e Multimídia Ltda","PR","Signopus","Animação",26,"133.914,11","16.516"
